coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,zori_rent_value,year
OH-503,Columbus/Franklin County CoC,1807.0,1519.0,288.0,137.0,692900,666488,26412,1308599,24172,23205.0,967.0,198207,50184.0,82840.63195082352,172219.74121704747,50.88,2476.583,9275.7319,1082.1147622087603,2018
OH-504,Youngstown/Mahoning County CoC,180.0,157.0,23.0,25.0,104748,98585,6163,228975,5271,4849.0,422.0,36520,42992.0,28447.92214920647,81667.07116496166,50.88,2476.5830000000005,9275.7319,633.5609976259291,2018
OH-505,"Dayton, Kettering/Montgomery County CoC",680.0,629.0,51.0,30.0,252244,240844,11400,531954,12233,11499.0,734.0,87187,46786.0,42997.877473703564,103980.48486233386,50.88,2476.583,9275.7319,848.3366836901738,2018
OH-506,Akron/Summit County CoC,587.0,454.0,133.0,46.0,272715,260047,12668,541451,13806,13529.0,277.0,63889,51404.0,54494.278590076254,127296.48754326861,50.88,2476.583,9275.7319,812.2007119064078,2018
OH-507,Ohio Balance of State CoC,3133.0,2500.0,633.0,196.0,1409876,1346388,63488,2803240,44167,40792.0,3375.0,336217,46093.19995469528,75367.86932910813,144250.18802730844,50.88000000000001,2476.583,9275.7319,642.6921190704076,2018
OH-508,"Canton, Massillon, Alliance/Stark County CoC",278.0,238.0,40.0,3.0,186994,177846,9148,371410,6514,6058.0,456.0,52330,44912.0,55014.38922346957,121319.08624014108,50.88,2476.583,9275.7319,720.0965838249969,2018
OK-500,North Central Oklahoma CoC,181.0,141.0,40.0,7.0,65654,63775,1879,143468,1562,1470.0,92.0,25910,40131.92134831461,47217.07985434381,120369.43437839154,60.13999999999999,1728.4646,7498.007600000001,0.0,2018
OK-501,Tulsa City & County CoC,1083.0,857.0,226.0,159.0,320901,310559,10342,648496,13013,12102.0,911.0,89706,63340.0,59631.66359980386,135332.0055520079,60.13999999999999,1728.4646,7498.0076,938.0650895475727,2018
OK-503,Oklahoma Balance of State CoC,233.0,78.0,155.0,42.0,54347,52548,1799,119872,1595,1533.0,62.0,16926,39637.5152829685,38490.081521192595,115610.48902702419,60.14,1728.4646,7498.0076,0.0,2018
OK-505,Northeast Oklahoma CoC,392.0,341.0,51.0,93.0,41584,39968,1616,100573,872,810.0,62.0,16469,48600.04105475625,42381.66634034442,98875.50825340072,60.14,1728.4645999999998,7498.0076,0.0,2018
OK-506,Southwest Oklahoma Regional CoC,191.0,150.0,41.0,0.0,67618,65289,2329,160856,1670,1486.0,184.0,21895,42561.50171582036,43113.42780942761,109236.00709925748,60.14,1728.4646,7498.0076,531.4935527240959,2018
OK-507,Southeastern Oklahoma Regional CoC,244.0,187.0,57.0,44.0,126545,122138,4407,282686,5367,4977.0,390.0,43556,40648.76437814395,38882.11452493774,98652.77931202602,60.1174339726764,1975.7915089746218,7806.3119766879145,338.3774819954211,2018
OR-500,"Eugene, Springfield/Lane County CoC",1641.0,507.0,1134.0,712.0,179863,172070,7793,378807,5029,4878.0,151.0,67217,44957.0,208429.39404657236,288808.5933417003,51.27,2687.7985,11247.93,1318.5384046741256,2018
OR-501,"Portland, Gresham/Multnomah County CoC",4019.0,2351.0,1668.0,1384.0,448867,432846,16021,809448,15168,14561.0,607.0,95543,57195.0,292159.6940959257,401635.9184857004,51.27,2687.7984999999994,11247.929999999998,1449.7198010252594,2018
OR-502,"Medford, Ashland/Jackson County CoC",732.0,403.0,329.0,259.0,103422,98641,4781,219616,2923,2864.0,59.0,32137,45903.0,219965.65376734664,306852.9484772011,51.27,2687.7985,11247.93,1344.4846542071525,2018
OR-503,Central Oregon CoC,787.0,232.0,555.0,172.0,94324,90460,3864,191770,1292,1214.0,78.0,17918,55473.0,257904.27105261243,377478.16570180154,51.27,2687.7985,11247.93,1465.4651951276505,2018
OR-505,Oregon Balance of State CoC,6392.0,1858.0,4534.0,1503.0,499873,478629,21244,1072292,14994,13502.0,1492.0,145132,42669.538581841516,196561.15968891766,275629.6984692518,51.27,2687.7985,11247.930000000002,757.8341540509333,2018
OR-506,"Hillsboro, Beaverton/Washington County CoC",522.0,163.0,359.0,166.0,320147,309361,10786,597030,4079,3711.0,368.0,51789,60999.0,316746.0469633743,421280.59818716714,51.27,2687.7985,11247.93,1482.3134927793046,2018
OR-507,Clackamas County CoC,383.0,37.0,346.0,125.0,216445,208578,7867,415586,2907,2558.0,349.0,30022,58903.0,299869.4803846333,419028.70249506185,51.27,2687.7985,11247.93,1489.3854320091789,2018
PA-501,Harrisburg/Dauphin County CoC,445.0,410.0,35.0,47.0,144231,138273,5958,276951,6489,5904.0,585.0,35730,50878.0,75458.12932880192,155726.63077467037,49.8,2437.4195,10024.494,916.8241673528274,2018
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",414.0,361.0,53.0,33.0,299233,286729,12504,565506,7061,6496.0,565.0,47800,67223.0,92673.37725724978,202234.1359468973,49.8,2437.4195,10024.494,1296.0862407260634,2018
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",165.0,159.0,6.0,0.0,159673,150704,8969,318093,9037,8223.0,814.0,43839,44535.0,41602.8781736247,100433.3879703732,49.8,2437.4195,10024.494,788.7750484422342,2018
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",291.0,271.0,20.0,20.0,455203,438929,16274,826995,5777,5083.0,694.0,47317,79439.0,186351.1493947059,296112.7975037166,49.8,2437.4195,10024.494,1464.022362683398,2018
PA-505,Chester County CoC,579.0,566.0,13.0,11.0,285793,276376,9417,522256,3713,3378.0,335.0,34311,84955.0,215151.9294445491,347085.3045161927,49.8,2437.4195,10024.494,1566.4075396021829,2018
PA-506,Reading/Berks County CoC,562.0,551.0,11.0,5.0,215228,205903,9325,420407,4326,3936.0,390.0,46762,49549.0,88877.45240834692,167124.80148961933,49.8,2437.4195,10024.494,906.1647354176374,2018
PA-508,Scranton/Lackawanna County CoC,159.0,154.0,5.0,12.0,106463,101395,5068,210301,6579,5855.0,724.0,28929,47013.0,50680.573424715476,115279.88784489191,49.8,2437.4195,10024.494,872.1240010999683,2018
PA-509,Eastern Pennsylvania CoC,1998.0,1652.0,346.0,91.0,1122882,1073312,49570,2212825,28953,26007.0,2946.0,243059,48552.95547094777,103991.4186876372,172184.6876309266,49.8,2437.4195,10024.493999999999,765.7025208926595,2018
PA-510,Lancaster City & County CoC,406.0,390.0,16.0,22.0,285302,275237,10065,543960,4220,3924.0,296.0,42131,52682.0,148354.1219322885,218711.38576486963,49.8,2437.4195,10024.494,935.7933839787985,2018
PA-511,"Bristol, Bensalem/Bucks County CoC",397.0,378.0,19.0,25.0,344427,330950,13477,628183,5514,4797.0,717.0,35350,73655.0,208731.1021745644,316490.3511911815,49.8,2437.4195,10024.494,1487.0942571432843,2018
PA-512,York City & County CoC,324.0,291.0,33.0,13.0,237045,227519,9526,448417,3518,3342.0,176.0,38582,50069.0,112016.44925627287,178956.90644179785,49.8,2437.4195,10024.494,990.2910533664564,2018
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",783.0,727.0,56.0,117.0,651614,624269,27345,1217508,34483,31034.0,3449.0,138397,63371.0,63373.782639428566,144618.49249347873,49.8,2437.4195,10024.494,1098.5634262682472,2018
PA-601,Western Pennsylvania CoC,748.0,710.0,38.0,46.0,520715,496833,23882,1027062,17216,15684.0,1532.0,107566,51587.00468910348,55370.76441258614,131104.19001456499,49.8,2437.4195,10024.494,697.281755407586,2018
PA-603,Beaver County CoC,117.0,111.0,6.0,3.0,84526,80523,4003,164669,3971,3653.0,318.0,18061,48416.0,51717.51503020517,122426.52359161881,49.8,2437.4195,10024.494,0.0,2018
PA-605,Erie City & County CoC,336.0,332.0,4.0,20.0,130607,124230,6377,271780,6157,5602.0,555.0,39839,44740.0,66261.1316431637,123767.18624199735,49.8,2437.4195,10024.494,804.0461824176576,2018
RI-500,Rhode Island Statewide CoC,1101.0,1050.0,51.0,264.0,571152,547994,23158,1059338,37943,35354.0,2589.0,130538,54158.033524710714,195179.67776112648,275805.6392665169,49.27,2929.7157,10351.25,1362.9048164200399,2018
SC-500,Charleston/Low Country CoC,451.0,337.0,114.0,86.0,450113,437009,13104,979703,10971,10375.0,596.0,121005,51907.1738812681,159898.36885746132,275414.9042877189,61.7,1601.9136999999998,8772.0827,1360.9072793945238,2018
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1185.0,849.0,336.0,181.0,589599,571480,18119,1279500,15556,14904.0,652.0,168019,43262.246430636966,74942.05389048673,158814.89980840223,61.7,1601.9137,8772.0827,934.078464072033,2018
SC-502,Columbia/Midlands CoC,1205.0,1005.0,200.0,248.0,581900,563111,18789,1249029,15129,14198.0,931.0,164636,46012.001289001295,74329.75043040627,163500.7510934939,61.699999999999996,1601.9137,8772.0827,953.8296642923881,2018
SC-503,"Myrtle Beach, Sumter City & County CoC",1092.0,398.0,694.0,171.0,249405,239387,10018,589492,6395,5945.0,450.0,92388,38981.83237431551,76510.43010020374,151763.62002297604,61.699999999999996,1601.9137,8772.0827,876.618617421697,2018
SD-500,South Dakota Statewide CoC,1159.0,874.0,285.0,190.0,240185,234103,6082,439049,7183,6559.0,624.0,43001,58690.338356311026,141522.9292499002,210660.65879178888,45.54,1355.0566,8202.8859,777.0693552865482,2018
TN-500,Chattanooga/Southeast Tennessee CoC,623.0,330.0,293.0,322.0,231829,223899,7930,471897,9144,8332.0,812.0,61237,48949.64812236569,91439.68622401373,173590.88167789392,58.11,1756.5448,7240.369199999999,1040.0914010229776,2018
TN-501,Memphis/Shelby County CoC,1226.0,1124.0,102.0,87.0,442606,424233,18373,937239,17585,16529.0,1056.0,198554,49022.0,44163.23361729194,124727.50619647371,58.11,1756.5448,7240.3692,982.1912795738061,2018
TN-502,Knoxville/Knox County CoC,743.0,557.0,186.0,177.0,241067,233982,7085,466787,10663,9383.0,1280.0,59817,50433.0,95169.80777911002,183402.09926564337,58.11,1756.5448,7240.369199999999,1077.3766673323266,2018
TN-503,Central Tennessee CoC,268.0,244.0,24.0,46.0,416308,403856,12452,832495,5719,5321.0,398.0,71039,58505.18136084901,159757.17136164327,272359.6963032019,58.11000000000001,1756.5448000000001,7240.3692,1075.6374566030631,2018
TN-504,Nashville-Davidson County CoC,2298.0,1682.0,616.0,637.0,394751,384282,10469,691298,17731,15957.0,1774.0,102623,68709.0,175641.201868583,266686.7344241754,58.11,1756.5448,7240.369200000001,1368.866641772535,2018
TN-506,Upper Cumberland CoC,258.0,212.0,46.0,9.0,132680,128350,4330,279476,2549,2438.0,111.0,30378,44217.78257524796,132226.98411816315,216908.198466829,58.11,1756.5448,7240.3692,849.8295777577465,2018
TN-507,Jackson/West Tennessee CoC,1026.0,122.0,904.0,72.0,95820,92095,3725,199836,4461,4271.0,190.0,29098,43770.26594307332,62021.53677843226,142044.6765252051,58.10999999999999,1756.5448,7240.3692,0.0,2018
TN-509,Appalachian Regional CoC,360.0,250.0,110.0,51.0,154504,148794,5710,343247,6479,5733.0,746.0,54607,41418.895608701605,64882.92060366889,128173.90413094038,58.11000000000001,1756.5448000000001,7240.369200000001,279.9337947160651,2018
TN-510,Murfreesboro/Rutherford County CoC,283.0,209.0,74.0,100.0,179778,174943,4835,324809,2103,1955.0,148.0,33172,41782.0,171489.35892043114,243217.58163173636,58.10999999999999,1756.5448,7240.3692,1349.8253730522822,2018
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",798.0,298.0,500.0,162.0,62756,60734,2022,131595,1245,1195.0,50.0,12816,44203.0,102297.816476928,177700.4864570649,58.11,1756.5448,7240.3692,1140.4315160810165,2018
TX-500,San Antonio/Bexar County CoC,3066.0,1713.0,1353.0,479.0,927183,895880,31303,1981061,26804,24659.0,2145.0,334215,47148.0,107429.228445515,179715.52000667548,65.97,1397.5832,8463.3366,1138.0679682447105,2018
TX-503,Austin/Travis County CoC,2147.0,1133.0,1014.0,498.0,712216,691743,20473,1246693,10004,9103.0,901.0,146724,70141.0,229616.61862565795,338322.8467112381,65.97,1397.5832,8463.3366,1360.0259034439207,2018
TX-600,"Dallas City & County, Irving CoC",4121.0,2780.0,1341.0,587.0,1870085,1801100,68985,3635776,37340,32729.0,4611.0,432490,62802.18745929342,162015.30670406437,247613.71756343092,65.96999999999998,1397.5832,8463.3366,1332.5964588525414,2018
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2015.0,1337.0,678.0,278.0,65311,63271,2040,138254,600,552.0,48.0,11289,55469.0,142051.58137908796,253472.91963848379,65.97,1397.5832,8463.3366,1146.0513367996205,2018
TX-603,El Paso City & County CoC,892.0,715.0,177.0,151.0,354932,339827,15105,835590,13168,10929.0,2239.0,169120,36427.0,84309.72225447265,127895.78111268098,65.97,1397.5832,8463.3366,1043.8667327869116,2018
TX-604,Waco/McLennan County CoC,188.0,130.0,58.0,22.0,117071,112839,4232,254204,4051,3929.0,122.0,46457,41743.0,73891.5744504865,150298.81712294827,65.97,1397.5832,8463.3366,1029.7850808025485,2018
TX-607,Texas Balance of State CoC,7638.0,3560.0,4078.0,644.0,2940166,2811740,128426,6551601,72456,64220.0,8236.0,1112118,44291.73298847106,85435.14166201826,160150.50429588405,65.97,1397.5831999999998,8463.3366,910.1886314828465,2018
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",238.0,195.0,43.0,19.0,86773,83782,2991,200297,2481,2281.0,200.0,27864,43279.63293509139,64329.33513942887,132893.6896856245,65.97,1397.5832,8463.3366,530.9406797631868,2018
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",4143.0,2529.0,1614.0,669.0,659820,634051,25769,1379396,3812,3665.0,147.0,115855,61060.90829536986,165991.3135158512,255144.90576548773,65.97,1397.5832,8463.3366,1467.1933490090323,2018
TX-701,"Bryan, College Station/Brazos Valley CoC",197.0,126.0,71.0,10.0,115352,112032,3320,226011,2466,2120.0,346.0,49310,40673.0,133180.8763343121,215911.24137355853,65.97,1397.5832,8463.3366,1258.4184501634413,2018
UT-500,Salt Lake City & County CoC,1804.0,1668.0,136.0,227.0,624844,607123,17721,1148949,9291,8733.0,558.0,102660,52130.0,244409.1897927392,336543.8675928261,49.55,1274.4629,8782.1224,1241.128930340569,2018
UT-503,Utah Balance of State CoC,899.0,660.0,239.0,56.0,458983,445360,13623,958192,5565,5186.0,379.0,83346,42067.40420395912,208960.16269904614,291908.5964542893,49.55,1274.4628999999998,8782.1224,1001.8875731366472,2018
UT-504,Provo/Mountainland CoC,173.0,128.0,45.0,23.0,24565,23866,699,41879,4,0.0,4.0,2570,144148.0,313999.4271925304,635634.6334965306,49.55,1274.4629,8782.1224,0.0,2018
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",609.0,505.0,104.0,90.0,441168,428438,12730,808865,6181,5727.0,454.0,62602,60533.66379927429,159345.5978791318,243654.42487800508,55.54,1480.3665999999998,8919.7023,1045.7782309307413,2018
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",304.0,276.0,28.0,42.0,20372,19752,620,40056,206,193.0,13.0,4026,45672.0,152353.2597792675,233708.85859656602,55.53999999999999,1480.3666,8919.7023,0.0,2018
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",200.0,164.0,36.0,36.0,71845,69742,2103,149891,560,526.0,34.0,7822,54787.0,252419.47693385964,357200.3128856234,55.54,1480.3666,8919.7023,1559.5430844571245,2018
VA-521,Virginia Balance of State CoC,718.0,553.0,165.0,38.0,52355,50778,1577,104934,404,385.0,19.0,9085,58691.403567957,191130.43921251575,306573.997992848,55.53999999999999,1480.3666,8919.7023,0.0,2018
VA-600,Arlington County CoC,221.0,186.0,35.0,57.0,153786,150729,3057,236662,2748,2555.0,193.0,14842,95012.0,337624.94821953453,625622.268737202,55.54,1480.3666,8919.7023,2095.3514651756236,2018
VA-602,Loudoun County CoC,134.0,110.0,24.0,28.0,221826,216382,5444,405964,958,641.0,317.0,14700,79280.0,376231.3496180199,535727.6957042749,55.54,1480.3666,8919.7023,1806.4845795860715,2018
VT-501,Burlington/Chittenden County CoC,359.0,342.0,17.0,42.0,100209,98196,2013,163755,4628,4072.0,556.0,16039,59820.0,208106.41692119883,300846.55595447187,43.74,2818.6172,11682.543,1522.687494808434,2018
WA-500,Seattle/King County CoC,12112.0,5792.0,6320.0,3552.0,1260655,1218696,41959,2228488,34950,32853.0,2097.0,202628,88308.0,381177.13431616616,615582.6817420117,50.47,1719.8962,10377.068,1887.5544374626543,2018
WA-501,Washington Balance of State CoC,5666.0,3177.0,2489.0,1493.0,861419,817277,44142,1834757,17934,16009.0,1925.0,208074,47226.62436442537,201045.8225097808,301249.9399658912,50.47,1719.8962,10377.068,998.5923376414657,2018
WA-502,Spokane City & County CoC,1245.0,935.0,310.0,265.0,246687,233903,12784,513502,7477,7177.0,300.0,65365,45209.0,161000.66722295873,245666.5014931776,50.47,1719.8962,10377.068,1033.8847537684026,2018
WA-504,Everett/Snohomish County CoC,858.0,480.0,378.0,367.0,429470,413908,15562,814107,8734,8384.0,350.0,60590,54934.0,333848.6406722786,470574.714410789,50.47,1719.8962,10377.068,1584.0074868033464,2018
WA-508,Vancouver/Clark County CoC,795.0,421.0,374.0,115.0,234402,223243,11159,482467,4035,3429.0,606.0,41980,53180.0,276641.5283230806,354894.16145734367,50.47,1719.8961999999997,10377.068,1359.4833828322792,2018
WI-500,Wisconsin Balance of State CoC,3147.0,3020.0,127.0,285.0,1564371,1520235,44136,2850569,32422,28902.0,3520.0,239806,53062.601915617546,117970.00962480858,190703.07271249525,44.71,2178.0713,9218.7452,264.4882650362666,2018
WI-501,Milwaukee City & County CoC,871.0,710.0,161.0,96.0,470208,453165,17043,947908,22207,20208.0,1999.0,177263,46792.0,78240.28487956591,149822.69882428966,44.71,2178.0713,9218.7452,983.3239584668867,2018
WI-502,Racine City & County CoC,275.0,265.0,10.0,22.0,99492,95909,3583,196348,3031,2909.0,122.0,24084,49191.0,89538.51340922085,158895.9134648329,44.71,2178.0713,9218.7452,706.5298592717808,2018
WI-503,Madison/Dane County CoC,614.0,530.0,84.0,124.0,321110,313959,7151,542448,6396,5884.0,512.0,57062,61221.0,191711.6028030812,283083.85970891546,44.71,2178.0713,9218.7452,1150.8970546075918,2018
WV-500,"Wheeling, Weirton Area CoC",108.0,98.0,10.0,21.0,34550,32818,1732,70937,2762,2390.0,372.0,8741,54852.24370920676,40891.634153619074,94408.13369247544,53.08,2532.1784999999995,8913.667800000001,0.0,2018
WV-501,"Huntington/Cabell, Wayne Counties CoC",190.0,169.0,21.0,6.0,57180,54326,2854,132981,4187,3829.0,358.0,25540,40530.96504011851,39716.90002873407,93678.25471174419,53.08,2532.1785,8913.6678,0.0,2018
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",317.0,260.0,57.0,31.0,83247,79012,4235,180497,5650,5311.0,339.0,30248,48396.0,47036.141020386916,99019.97202003375,53.08,2532.1785,8913.6678,713.6871863202118,2018
WV-508,West Virginia Balance of State CoC,628.0,533.0,95.0,96.0,202123,193643,8480,404159,4454,4046.0,408.0,57007,45493.95669278675,98682.60865743113,169565.41666134633,53.08,2532.1785,8913.6678,617.9503259298891,2018
AK-501,Alaska Balance of State CoC,717.0,578.0,139.0,141.0,46422,43775,2647,99911,1028,1028.0,0.0,7051,53881.0,116208.57083015029,220817.66390209214,32.03,3473.1147,17154.069,0.0,2017
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092.0,875.0,217.0,92.0,426419,409024,17395,873746,19407,17517.0,1890.0,123337,52659.021047306655,55801.0687859079,139120.69744434353,62.68,1402.2845,8025.625200000001,980.2971530569587,2017
AL-501,Mobile City & County/Baldwin County CoC,606.0,341.0,265.0,65.0,282169,268252,13917,626946,14150,12096.0,2054.0,101315,39889.593901229135,61154.21921862687,136238.48243627266,62.68,1402.2845000000002,8025.6252,903.704301741744,2017
AL-503,Huntsville/North Alabama CoC,436.0,337.0,99.0,64.0,275549,264411,11138,575145,7197,6727.0,470.0,73110,46002.08621651931,69837.73555155916,147491.36658888657,62.68,1402.2845000000002,8025.6252,584.6744426376293,2017
AL-504,Montgomery City & County CoC,377.0,314.0,63.0,45.0,170867,163655,7212,364414,5743,5179.0,564.0,62856,42238.16477413052,48586.81815177135,115013.15585755523,62.68,1402.2845,8025.6252,567.4781741948411,2017
AL-506,Tuscaloosa City & County CoC,200.0,137.0,63.0,24.0,101014,96711,4303,207849,4896,4259.0,637.0,31238,37746.0,50377.11645724983,138049.42933702495,62.68,1402.2845,8025.6252,1248.9017272126418,2017
AL-507,Alabama Balance of State CoC,764.0,416.0,348.0,6.0,292377,278998,13379,684358,11453,10495.0,958.0,113690,37074.458884092826,56442.735203989294,119476.64597295319,62.68,1402.2845,8025.6252,295.15174477727805,2017
AR-500,Little Rock/Central Arkansas CoC,1006.0,456.0,550.0,226.0,279750,270429,9321,586006,11222,9811.0,1411.0,75126,46584.26523619212,56016.83552526463,134040.6169306772,60.09000000000001,2486.7867,8248.7013,549.0348450270632,2017
AR-501,Fayetteville/Northwest Arkansas CoC,330.0,235.0,95.0,66.0,280034,271996,8038,562779,3646,3280.0,366.0,65944,60280.44639014604,100001.30260125709,163128.889282488,60.089999999999996,2486.7867,8248.7013,921.1782564115032,2017
AR-503,Arkansas Balance of State CoC,875.0,414.0,461.0,110.0,184339,177726,6613,393113,5408,5059.0,349.0,56715,36807.30627580365,65189.889051573664,130838.75188780266,60.09,2486.7867,8248.7013,561.6681436597604,2017
AZ-500,Arizona Balance of State CoC,1768.0,1046.0,722.0,388.0,341091,321829,19262,811559,3333,3082.0,251.0,137438,37149.05767664458,136098.32333554846,227755.03935276228,65.97,2092.7004999999995,7241.457599999999,836.5831979353525,2017
AZ-501,Tucson/Pima County CoC,1574.0,1189.0,385.0,225.0,464230,443046,21184,1027115,9293,8549.0,744.0,165811,41574.0,120356.92046942575,189467.31318230752,65.97,2092.7005,7241.4576,967.3415624780688,2017
AZ-502,"Phoenix, Mesa/Maricopa County CoC",5605.0,3546.0,2059.0,939.0,2088547,1999783,88764,4329227,24078,22392.0,1686.0,570402,45454.0,169526.26843149634,253285.85672788622,65.97,2092.7005,7241.4576,1129.142084899917,2017
CA-500,San Jose/Santa Clara City & County CoC,7394.0,1946.0,5448.0,2097.0,1037356,1003683,33673,1932251,23800,21182.0,2618.0,142603,99336.0,611470.9019854142,949456.6714761574,61.17,2841.2796,11624.995,2776.553075971362,2017
CA-502,"Oakland, Berkeley/Alameda County CoC",5629.0,1766.0,3863.0,1707.0,838175,807100,31075,1659824,33655,30289.0,3366.0,152087,70370.0,449941.20949312655,728373.1795830041,61.17,2841.2796,11624.995,2490.533931920658,2017
CA-503,Sacramento City & County CoC,3665.0,1613.0,2052.0,1126.0,696466,663727,32739,1527984,19503,18137.0,1366.0,213232,49125.0,232525.99115027502,333973.3496660941,61.17,2841.2796,11624.995,1487.147864281724,2017
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2835.0,988.0,1847.0,598.0,259768,250932,8836,502203,6349,5904.0,445.0,46165,58347.0,377626.74999480176,574730.6938506615,61.17,2841.2796,11624.995,2006.4963303873399,2017
CA-505,Richmond/Contra Costa County CoC,1607.0,696.0,911.0,331.0,557869,536304,21565,1145623,14765,13583.0,1182.0,103883,75929.0,375439.24774653185,571914.1912883379,61.169999999999995,2841.2796,11624.995,2315.328279205908,2017
CA-506,"Salinas/Monterey, San Benito Counties CoC",3364.0,850.0,2514.0,902.0,250075,232441,17634,493993,5403,3987.0,1416.0,54889,52689.805821135116,338693.8912383154,498359.2390151658,61.17,2841.2796000000003,11624.995,1582.3276048329933,2017
CA-507,Marin County CoC,1117.0,409.0,708.0,359.0,139632,135584,4048,259975,3504,3328.0,176.0,20222,122748.0,564646.3370484238,970100.3027912591,61.17,2841.2796,11624.995,3190.0362930451943,2017
CA-508,Watsonville/Santa Cruz City & County CoC,2249.0,450.0,1799.0,600.0,142601,134423,8178,274865,6007,5346.0,661.0,33262,62813.0,444726.5278171782,717917.4623455663,61.17,2841.2796,11624.995,2457.0013369391418,2017
CA-510,"Turlock, Modesto/Stanislaus County CoC",1661.0,840.0,821.0,178.0,241971,223735,18236,544494,6302,5671.0,631.0,75614,41076.0,202116.0035651015,281385.57735634985,61.17,2841.2796,11624.995,1262.5577037262512,2017
CA-511,Stockton/San Joaquin County CoC,1542.0,975.0,567.0,254.0,322951,300205,22746,743286,7746,7048.0,698.0,113375,41601.0,213952.99210233917,328538.201883966,61.17000000000001,2841.2796,11624.994999999999,1620.1892502145927,2017
CA-512,Daly City/San Mateo County CoC,1253.0,616.0,637.0,234.0,444909,432729,12180,768658,6356,6038.0,318.0,48795,116077.0,685007.0860863284,1109735.0829301619,61.17,2841.2795999999994,11624.995,2972.1358127851413,2017
CA-513,"Visalia/Kings, Tulare Counties CoC",853.0,354.0,499.0,251.0,261722,235091,26631,611614,5481,5051.0,430.0,135109,37830.007357581744,122781.5470166752,197760.01799507503,61.17,2841.2795999999994,11624.995,898.8563579313779,2017
CA-514,Fresno City & County/Madera County CoC,2016.0,487.0,1529.0,692.0,505361,462197,43164,1139805,18393,17334.0,1059.0,236615,39749.214165580954,136711.19965087116,227123.44236893384,61.169999999999995,2841.2796,11624.995,1001.7314269520253,2017
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",979.0,521.0,458.0,232.0,229519,220466,9053,484769,2013,1921.0,92.0,40762,62371.08017426857,325882.4571500908,451255.1693099745,61.17,2841.2795999999994,11624.995,1463.675739235013,2017
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934.0,530.0,404.0,341.0,83937,79063,4874,210322,2939,2770.0,169.0,33945,42021.6758636757,134225.69260872703,227318.5381570388,61.17,2841.2796,11624.995,824.2637738379238,2017
CA-517,Napa City & County CoC,315.0,199.0,116.0,134.0,73237,70549,2688,139818,1860,1488.0,372.0,9301,69528.0,423030.7163086413,620173.6487976285,61.17,2841.2796,11624.995,2148.3795277891563,2017
CA-518,Vallejo/Solano County CoC,1232.0,315.0,917.0,434.0,207947,197959,9988,443554,6718,5844.0,874.0,43352,47333.0,300824.4281336759,404205.9573223146,61.17,2841.2796,11624.995,1674.9047693926552,2017
CA-519,"Chico, Paradise/Butte County CoC",1195.0,450.0,745.0,531.0,101998,96056,5942,228700,3122,2934.0,188.0,40728,41465.0,160523.0732515812,265563.6037424276,61.17,2841.2796,11624.995,1170.1324537031114,2017
CA-520,Merced City & County CoC,454.0,156.0,298.0,120.0,115210,104330,10880,270837,3515,3339.0,176.0,61297,36766.0,156860.5110432044,232996.702616018,61.17,2841.2796,11624.995,1189.8098719826323,2017
CA-521,"Davis, Woodland/Yolo County CoC",459.0,250.0,209.0,174.0,106564,101083,5481,218470,2940,2557.0,383.0,36761,50520.0,284833.8972077164,408757.8794037712,61.17,2841.2796,11624.995,1688.3892074279083,2017
CA-522,Humboldt County CoC,759.0,325.0,434.0,310.0,62486,59842,2644,136710,1994,1555.0,439.0,26262,43354.0,168892.84933374805,294585.55526891485,61.17,2841.2796,11624.995,0.0,2017
CA-524,Yuba City & County/Sutter County CoC,760.0,287.0,473.0,150.0,73683,67598,6085,172736,2057,1985.0,72.0,24237,40183.31736870137,168697.75729184266,258299.83619114358,61.17000000000001,2841.2796,11624.995,0.0,2017
CA-525,El Dorado County CoC,602.0,106.0,496.0,241.0,89712,85766,3946,188793,803,754.0,49.0,15620,63387.0,285214.7123399191,450777.60845645313,61.17,2841.2796,11624.995000000003,1616.7187507894305,2017
