coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
PA-509,Eastern Pennsylvania CoC,1998.0,1652.0,346.0,1101.0,890.0,1464.0,398.0,443.0,9.0,1554397,1483782,70615,3110801,42590.0,38484.0,4106.0,47100.66916527287,91488.90139858586,157377.57880978918,49.8,2018
PA-510,Lancaster City & County CoC,406.0,390.0,16.0,229.0,177.0,247.0,133.0,104.0,3.0,285302,275237,10065,543960,4220.0,3924.0,296.0,52682.0,148354.1219322885,218711.38576486963,49.8,2018
PA-511,"Bristol, Bensalem/Bucks County CoC",397.0,378.0,19.0,164.0,233.0,259.0,30.0,114.0,7.0,344427,330950,13477,628183,5514.0,4797.0,717.0,73655.0,208731.1021745644,316490.3511911815,49.8,2018
PA-512,York City & County CoC,324.0,291.0,33.0,176.0,148.0,192.0,58.0,109.0,0.0,237045,227519,9526,448417,3518.0,3342.0,176.0,50069.0,112016.44925627287,178956.90644179785,49.8,2018
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",783.0,727.0,56.0,490.0,291.0,320.0,36.0,395.0,5.0,651614,624269,27345,1217508,34483.0,31034.0,3449.0,63371.0,63373.782639428566,144618.49249347873,49.8,2018
PA-601,Western Pennsylvania CoC,748.0,710.0,38.0,431.0,317.0,589.0,25.0,116.0,0.0,828381,788595,39786,1696858,30163.0,27096.0,3067.0,48141.471431316,45667.117023717416,109410.41882169638,49.800000000000004,2018
PA-603,Beaver County CoC,117.0,111.0,6.0,63.0,54.0,72.0,1.0,43.0,0.0,84526,80523,4003,164669,3971.0,3653.0,318.0,48416.0,51717.51503020517,122426.52359161881,49.8,2018
PA-605,Erie City & County CoC,336.0,332.0,4.0,221.0,115.0,214.0,31.0,99.0,0.0,130607,124230,6377,271780,6157.0,5602.0,555.0,44740.0,66261.1316431637,123767.18624199735,49.8,2018
RI-500,Rhode Island Statewide CoC,1101.0,1050.0,51.0,677.0,420.0,662.0,268.0,289.0,14.0,571152,547994,23158,1059338,37943.0,35354.0,2589.0,54158.033524710714,195179.67776112648,275805.6392665169,49.27,2018
SC-500,Charleston/Low Country CoC,451.0,337.0,114.0,309.0,139.0,177.0,17.0,237.0,1.0,486689,472310,14379,1066078,11778.0,11134.0,644.0,50377.423272030755,150757.87118767432,263822.28464621655,61.7,2018
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1185.0,849.0,336.0,752.0,431.0,596.0,45.0,524.0,3.0,696909,675002,21907,1537213,19810.0,19006.0,804.0,42369.68401711409,68812.06200388174,150301.87136065718,61.7,2018
SC-502,Columbia/Midlands CoC,1205.0,1005.0,200.0,768.0,435.0,385.0,41.0,791.0,3.0,706457,681894,24563,1553998,19476.0,18255.0,1221.0,44091.3627462841,65343.19883914321,149164.82602217156,61.699999999999996,2018
SC-503,"Myrtle Beach, Sumter City & County CoC",1092.0,398.0,694.0,665.0,427.0,578.0,38.0,464.0,4.0,389380,373176,16204,934413,11431.0,10335.0,1096.0,37680.79594676016,60030.21076564132,130969.55500292957,61.7,2018
SD-500,South Dakota Statewide CoC,1159.0,874.0,285.0,735.0,424.0,327.0,85.0,79.0,2.0,419442,408271,11171,787591,13307.0,11297.0,2010.0,54045.72309485507,112540.26435311571,183414.56322456262,45.54,2018
TN-500,Chattanooga/Southeast Tennessee CoC,623.0,330.0,293.0,408.0,212.0,411.0,23.0,190.0,0.0,327611,315494,12117,701024,12202.0,11094.0,1108.0,44589.047506219475,77476.35296504154,153218.04723883397,58.11,2018
TN-501,Memphis/Shelby County CoC,1226.0,1124.0,102.0,832.0,389.0,205.0,9.0,976.0,1.0,442606,424233,18373,937239,17585.0,16529.0,1056.0,49022.0,44163.23361729194,124727.50619647371,58.11,2018
TN-502,Knoxville/Knox County CoC,743.0,557.0,186.0,429.0,314.0,522.0,19.0,191.0,3.0,241067,233982,7085,466787,10663.0,9383.0,1280.0,50433.0,95169.80777911002,183402.09926564337,58.11,2018
TN-503,Central Tennessee CoC,268.0,244.0,24.0,129.0,136.0,146.0,24.0,97.0,1.0,588796,570235,18561,1211815,10428.0,9850.0,578.0,51761.995933372666,130125.90491991762,228004.98362711474,58.10999999999999,2018
TN-504,Nashville-Davidson County CoC,2298.0,1682.0,616.0,1713.0,580.0,1231.0,140.0,971.0,10.0,394751,384282,10469,691298,17731.0,15957.0,1774.0,68709.0,175641.201868583,266686.7344241754,58.11,2018
TN-506,Upper Cumberland CoC,258.0,212.0,46.0,145.0,112.0,219.0,3.0,32.0,0.0,233525,225315,8210,520362,5047.0,4805.0,242.0,39113.76947394314,92830.23793928509,163807.45960735474,58.11,2018
TN-507,Jackson/West Tennessee CoC,1026.0,122.0,904.0,566.0,460.0,611.0,9.0,389.0,0.0,292104,279249,12855,665400,10854.0,10322.0,532.0,38274.28305229937,40476.39640485372,100517.67608849678,58.11,2018
TN-509,Appalachian Regional CoC,360.0,250.0,110.0,231.0,128.0,321.0,2.0,28.0,4.0,224943,216192,8751,511436,8539.0,7657.0,882.0,39182.08794844321,57419.4514132953,118004.09900985887,58.11,2018
TN-510,Murfreesboro/Rutherford County CoC,283.0,209.0,74.0,158.0,123.0,199.0,4.0,77.0,0.0,179778,174943,4835,324809,2103.0,1955.0,148.0,41782.0,171489.35892043114,243217.58163173636,58.10999999999999,2018
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",798.0,298.0,500.0,430.0,368.0,736.0,26.0,56.0,0.0,304791,293509,11282,674652,8141.0,7610.0,531.0,39370.19970592246,74653.25151477888,145044.76125720894,58.11,2018
TX-500,San Antonio/Bexar County CoC,3066.0,1713.0,1353.0,1980.0,1082.0,2227.0,1386.0,751.0,17.0,927183,895880,31303,1981061,26804.0,24659.0,2145.0,47148.0,107429.228445515,179715.52000667548,65.97,2018
TX-503,Austin/Travis County CoC,2147.0,1133.0,1014.0,1422.0,718.0,1244.0,662.0,718.0,13.0,712216,691743,20473,1246693,10004.0,9103.0,901.0,70141.0,229616.61862565795,338322.8467112381,65.97,2018
TX-600,"Dallas City & County, Irving CoC",4121.0,2780.0,1341.0,2666.0,1446.0,1425.0,605.0,2522.0,48.0,1870085,1801100,68985,3635776,37340.0,32729.0,4611.0,62802.18745929342,162015.30670406437,247613.71756343092,65.96999999999998,2018
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2015.0,1337.0,678.0,1226.0,785.0,960.0,275.0,982.0,23.0,65311,63271,2040,138254,600.0,552.0,48.0,55469.0,142051.58137908796,253472.91963848379,65.97,2018
TX-603,El Paso City & County CoC,892.0,715.0,177.0,534.0,354.0,755.0,609.0,65.0,3.0,354932,339827,15105,835590,13168.0,10929.0,2239.0,36427.0,84309.72225447265,127895.78111268098,65.97,2018
TX-604,Waco/McLennan County CoC,188.0,130.0,58.0,125.0,63.0,82.0,20.0,95.0,1.0,162607,156454,6153,369242,5114.0,4932.0,182.0,40819.204930641696,61439.12377176228,131283.55811118358,65.97,2018
TX-607,Texas Balance of State CoC,7638.0,3560.0,4078.0,4538.0,3079.0,5281.0,2732.0,1932.0,39.0,4146487,3966830,179657,9378828,105419.0,92502.0,12917.0,43391.84424706371,74430.47211758512,147184.94793080539,65.97,2018
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",238.0,195.0,43.0,142.0,96.0,160.0,29.0,65.0,3.0,145865,140925,4940,332126,4267.0,3737.0,530.0,43456.12184532376,50199.34896694942,113024.1071439706,65.97,2018
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",4143.0,2529.0,1614.0,2597.0,1541.0,1646.0,707.0,2340.0,31.0,659820,634051,25769,1379396,3812.0,3665.0,147.0,61060.90829536986,165991.3135158512,255144.90576548773,65.97,2018
TX-701,"Bryan, College Station/Brazos Valley CoC",197.0,126.0,71.0,108.0,88.0,118.0,7.0,77.0,1.0,162354,156917,5437,346533,3695.0,3216.0,479.0,39977.6166800853,104006.53005062307,189393.3399313786,65.97,2018
UT-500,Salt Lake City & County CoC,1804.0,1668.0,136.0,1110.0,681.0,1301.0,406.0,209.0,21.0,624844,607123,17721,1148949,9291.0,8733.0,558.0,52130.0,244409.1897927392,336543.8675928261,49.55,2018
UT-503,Utah Balance of State CoC,899.0,660.0,239.0,508.0,386.0,753.0,170.0,60.0,6.0,616872,597513,19359,1307537,7258.0,6554.0,704.0,40509.867773531456,190835.58532991886,271605.810079147,49.55,2018
UT-504,Provo/Mountainland CoC,173.0,128.0,45.0,93.0,78.0,155.0,40.0,8.0,1.0,39824,38671,1153,75157,4.0,0.0,4.0,105372.44623920594,297974.9841102465,550804.645725428,49.55,2018
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",609.0,505.0,104.0,389.0,220.0,190.0,25.0,389.0,1.0,471534,457947,13587,867322,6197.0,5727.0,470.0,60641.625467819336,160034.05026112255,244728.062130635,55.540000000000006,2018
VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",773.0,693.0,80.0,533.0,239.0,158.0,39.0,591.0,2.0,19541,18969,572,37203,413.0,359.0,54.0,54012.0,92974.89658580282,277924.0230738668,55.54,2018
VA-502,"Roanoke City & County, Salem CoC",317.0,306.0,11.0,192.0,124.0,173.0,17.0,113.0,1.0,19770,19224,546,38517,31.0,23.0,8.0,48373.559467248226,76899.90353227864,182135.07171075259,55.540000000000006,2018
VA-504,Charlottesville CoC,183.0,155.0,28.0,113.0,70.0,95.0,5.0,82.0,0.0,51566,50187,1379,98142,412.0,369.0,43.0,45157.283996657905,135570.12497678483,220636.14878073282,55.54,2018
VA-508,Lynchburg CoC,112.0,92.0,20.0,74.0,38.0,73.0,9.0,30.0,0.0,22282,21530,752,47645,151.0,138.0,13.0,37124.75283870291,82336.31379915678,152385.79562898327,55.54,2018
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",304.0,276.0,28.0,206.0,98.0,214.0,29.0,69.0,3.0,62349,60384,1965,122042,555.0,515.0,40.0,45854.99700922633,134448.1081963353,216637.04452022197,55.54,2018
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",200.0,164.0,36.0,117.0,83.0,107.0,14.0,60.0,5.0,100468,97448,3020,207330,623.0,586.0,37.0,52653.05586263445,220494.37934414583,324602.0930303464,55.54,2018
VA-521,Virginia Balance of State CoC,718.0,553.0,165.0,376.0,340.0,460.0,33.0,213.0,0.0,436611,421514,15097,944097,7676.0,7094.0,582.0,41987.44651238167,84793.85383716942,162479.05108036232,55.53999999999999,2018
VA-600,Arlington County CoC,221.0,186.0,35.0,130.0,91.0,79.0,39.0,119.0,7.0,153786,150729,3057,236662,2748.0,2555.0,193.0,95012.0,337624.94821953453,625622.268737202,55.54,2018
VA-602,Loudoun County CoC,134.0,110.0,24.0,70.0,64.0,58.0,18.0,44.0,5.0,221826,216382,5444,405964,958.0,641.0,317.0,79280.0,376231.3496180199,535727.6957042749,55.54,2018
VT-500,Vermont Balance of State CoC,932.0,867.0,65.0,506.0,423.0,857.0,51.0,31.0,3.0,256245,248927,7318,461047,8212.0,7318.0,894.0,51277.462918097284,120882.23767024466,196647.33769273176,43.74,2018
VT-501,Burlington/Chittenden County CoC,359.0,342.0,17.0,222.0,132.0,293.0,6.0,53.0,5.0,100209,98196,2013,163755,4628.0,4072.0,556.0,59820.0,208106.41692119883,300846.55595447187,43.74,2018
WA-500,Seattle/King County CoC,12112.0,5792.0,6320.0,7439.0,4237.0,5789.0,1870.0,3317.0,337.0,1260655,1218696,41959,2228488,34950.0,32853.0,2097.0,88308.0,381177.13431616616,615582.6817420117,50.47,2018
WA-501,Washington Balance of State CoC,5666.0,3177.0,2489.0,3197.0,2434.0,4769.0,882.0,213.0,25.0,1037516,982896,54620,2233972,20975.0,18773.0,2202.0,46556.91772143966,189228.82718354807,289880.2230369581,50.47,2018
WA-502,Spokane City & County CoC,1245.0,935.0,310.0,774.0,468.0,999.0,104.0,86.0,3.0,246687,233903,12784,513502,7477.0,7177.0,300.0,45209.0,161000.66722295873,245666.5014931776,50.47,2018
WA-503,"Tacoma, Lakewood/Pierce County CoC",1628.0,878.0,750.0,986.0,637.0,857.0,222.0,383.0,28.0,428250,406220,22030,894951,9958.0,8962.0,996.0,49928.0,262625.17572771333,355570.12499571143,50.47,2018
WA-504,Everett/Snohomish County CoC,858.0,480.0,378.0,501.0,355.0,633.0,78.0,109.0,6.0,429470,413908,15562,814107,8734.0,8384.0,350.0,54934.0,333848.6406722786,470574.714410789,50.47,2018
WA-508,Vancouver/Clark County CoC,795.0,421.0,374.0,449.0,344.0,641.0,80.0,47.0,5.0,234402,223243,11159,482467,4035.0,3429.0,606.0,53180.0,276641.5283230806,354894.16145734367,50.47,2018
WI-500,Wisconsin Balance of State CoC,3147.0,3020.0,127.0,1588.0,1553.0,2009.0,232.0,647.0,26.0,2164839,2101554,63285,3987573,44120.0,38945.0,5175.0,51061.340571319946,104296.97918306012,176032.17312691396,44.71,2018
WI-501,Milwaukee City & County CoC,871.0,710.0,161.0,591.0,276.0,320.0,83.0,500.0,5.0,470208,453165,17043,947908,22207.0,20208.0,1999.0,46792.0,78240.28487956591,149822.69882428966,44.71,2018
WI-502,Racine City & County CoC,275.0,265.0,10.0,172.0,103.0,133.0,18.0,120.0,1.0,99492,95909,3583,196348,3031.0,2909.0,122.0,49191.0,89538.51340922085,158895.9134648329,44.71,2018
WI-503,Madison/Dane County CoC,614.0,530.0,84.0,368.0,246.0,266.0,24.0,303.0,5.0,321110,313959,7151,542448,6396.0,5884.0,512.0,61221.0,191711.6028030812,283083.85970891546,44.71,2018
WV-500,"Wheeling, Weirton Area CoC",108.0,98.0,10.0,64.0,43.0,90.0,2.0,14.0,0.0,65415,61799,3616,139214,4166.0,3630.0,536.0,48143.19385981295,38848.282526617775,88005.43728751491,53.07999999999999,2018
WV-501,"Huntington/Cabell, Wayne Counties CoC",190.0,169.0,21.0,116.0,74.0,159.0,2.0,30.0,0.0,57180,54326,2854,132981,4187.0,3829.0,358.0,40530.96504011851,39716.90002873407,93678.25471174419,53.08,2018
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",317.0,260.0,57.0,229.0,88.0,226.0,6.0,90.0,1.0,120554,114314,6240,267718,6498.0,6103.0,395.0,46523.29726055028,51073.40758846614,105491.43387139347,53.080000000000005,2018
WV-508,West Virginia Balance of State CoC,628.0,533.0,95.0,393.0,234.0,503.0,6.0,96.0,1.0,550574,522293,28281,1266040,19295.0,16986.0,2309.0,39675.54364554043,50507.65017056873,112682.37743697896,53.080000000000005,2018
WY-500,Wyoming Statewide CoC,639.0,440.0,199.0,384.0,254.0,500.0,79.0,42.0,0.0,292783,280910,11873,579054,5756.0,5217.0,539.0,59909.58017559675,150852.45143579447,243418.23770993852,43.47,2018
AK-501,Alaska Balance of State CoC,717.0,578.0,139.0,397.0,320.0,290.0,25.0,24.0,10.0,52742,49800,2942,113516,1146.0,1150.0,-4.0,54653.79890059551,120223.0614080896,226821.60024878703,32.03,2017
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092.0,875.0,217.0,738.0,334.0,330.0,17.0,726.0,1.0,426419,409024,17395,873746,19407.0,17517.0,1890.0,52659.021047306655,55801.0687859079,139120.69744434353,62.68,2017
AL-501,Mobile City & County/Baldwin County CoC,606.0,341.0,265.0,383.0,222.0,273.0,18.0,314.0,4.0,282169,268252,13917,626946,14150.0,12096.0,2054.0,39889.593901229135,61154.21921862687,136238.48243627266,62.68,2017
AL-502,Florence/Northwest Alabama CoC,155.0,133.0,22.0,81.0,72.0,112.0,3.0,7.0,0.0,116462,110750,5712,265666,5324.0,5091.0,233.0,34452.81462437798,44008.69503426785,98444.32108637101,62.67999999999999,2017
AL-503,Huntsville/North Alabama CoC,436.0,337.0,99.0,277.0,158.0,233.0,14.0,174.0,1.0,275549,264411,11138,575145,7197.0,6727.0,470.0,46002.08621651931,69837.73555155916,147491.36658888657,62.68,2017
AL-504,Montgomery City & County CoC,377.0,314.0,63.0,273.0,104.0,70.0,7.0,302.0,0.0,179461,171692,7769,384695,6231.0,5608.0,623.0,41734.49414991097,46734.163262596,112235.85560854954,62.68000000000001,2017
AL-506,Tuscaloosa City & County CoC,200.0,137.0,63.0,110.0,89.0,68.0,8.0,130.0,0.0,101014,96711,4303,207849,4896.0,4259.0,637.0,37746.0,50377.11645724983,138049.42933702495,62.68,2017
AL-507,Alabama Balance of State CoC,764.0,416.0,348.0,496.0,268.0,381.0,5.0,374.0,3.0,692891,659834,33057,1633050,30013.0,27666.0,2347.0,35711.16233550718,43476.14299806246,100213.13172701711,62.68,2017
AR-500,Little Rock/Central Arkansas CoC,1006.0,456.0,550.0,668.0,337.0,411.0,27.0,537.0,2.0,283446,273973,9473,594269,11349.0,9912.0,1437.0,46435.53925579157,55600.73076692056,133059.8663381554,60.09,2017
AR-501,Fayetteville/Northwest Arkansas CoC,330.0,235.0,95.0,193.0,136.0,261.0,18.0,25.0,4.0,300393,291707,8686,606987,4070.0,3644.0,426.0,58350.88993174483,96341.50228219423,159349.91219613364,60.09000000000001,2017
AR-503,Arkansas Balance of State CoC,875.0,414.0,461.0,495.0,379.0,624.0,15.0,238.0,3.0,387455,372033,15422,879558,16326.0,14546.0,1780.0,34434.41225024387,43340.28490063689,100685.52920212391,60.089999999999996,2017
AR-505,Southeast Arkansas CoC,88.0,88.0,0.0,36.0,52.0,15.0,1.0,72.0,0.0,115616,110014,5602,279811,6878.0,5540.0,1338.0,37037.30616380343,18433.799068024317,61438.8089245247,60.09000000000001,2017
AZ-500,Arizona Balance of State CoC,1768.0,1046.0,722.0,1090.0,675.0,1223.0,317.0,80.0,11.0,414373,389203,25170,1020824,4059.0,3771.0,288.0,36495.08294965635,124856.67105319389,212757.04798055498,65.97,2017
AZ-501,Tucson/Pima County CoC,1574.0,1189.0,385.0,1071.0,494.0,1140.0,470.0,193.0,10.0,464230,443046,21184,1027115,9293.0,8549.0,744.0,41574.0,120356.92046942575,189467.31318230752,65.97,2017
AZ-502,"Phoenix, Mesa/Maricopa County CoC",5605.0,3546.0,2059.0,3431.0,2162.0,3723.0,1284.0,1338.0,30.0,2088547,1999783,88764,4329227,24078.0,22392.0,1686.0,45454.0,169526.26843149634,253285.85672788622,65.97,2017
CA-500,San Jose/Santa Clara City & County CoC,7394.0,1946.0,5448.0,4973.0,2404.0,3446.0,3256.0,1069.0,225.0,1037356,1003683,33673,1932251,23800.0,21182.0,2618.0,99336.0,611470.9019854142,949456.6714761574,61.17,2017
CA-502,"Oakland, Berkeley/Alameda County CoC",5629.0,1766.0,3863.0,3277.0,2295.0,1710.0,952.0,2747.0,130.0,838175,807100,31075,1659824,33655.0,30289.0,3366.0,70370.0,449941.20949312655,728373.1795830041,61.17,2017
CA-503,Sacramento City & County CoC,3665.0,1613.0,2052.0,2435.0,1169.0,1817.0,656.0,1124.0,24.0,696466,663727,32739,1527984,19503.0,18137.0,1366.0,49125.0,232525.99115027502,333973.3496660941,61.17,2017
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2835.0,988.0,1847.0,1968.0,855.0,1990.0,697.0,219.0,29.0,259768,250932,8836,502203,6349.0,5904.0,445.0,58347.0,377626.74999480176,574730.6938506615,61.17,2017
CA-505,Richmond/Contra Costa County CoC,1607.0,696.0,911.0,1047.0,556.0,802.0,292.0,535.0,27.0,557869,536304,21565,1145623,14765.0,13583.0,1182.0,75929.0,375439.24774653185,571914.1912883379,61.169999999999995,2017
CA-506,"Salinas/Monterey, San Benito Counties CoC",3364.0,850.0,2514.0,2168.0,1189.0,2574.0,2339.0,351.0,13.0,250075,232441,17634,493993,5403.0,3987.0,1416.0,52689.805821135116,338693.8912383154,498359.2390151658,61.17,2017
CA-507,Marin County CoC,1117.0,409.0,708.0,760.0,350.0,720.0,197.0,172.0,19.0,139632,135584,4048,259975,3504.0,3328.0,176.0,122748.0,564646.3370484238,970100.3027912591,61.17,2017
CA-508,Watsonville/Santa Cruz City & County CoC,2249.0,450.0,1799.0,1655.0,590.0,1323.0,790.0,153.0,5.0,142601,134423,8178,274865,6007.0,5346.0,661.0,62813.0,444726.5278171782,717917.4623455663,61.17,2017
CA-509,Mendocino County CoC,1238.0,160.0,1078.0,824.0,411.0,1026.0,117.0,34.0,2.0,39534,37735,1799,87690,1649.0,1286.0,363.0,45984.0,213285.48427280193,360868.7123100496,61.169999999999995,2017
CA-510,"Turlock, Modesto/Stanislaus County CoC",1661.0,840.0,821.0,1032.0,620.0,1317.0,550.0,174.0,24.0,241971,223735,18236,544494,6302.0,5671.0,631.0,41076.0,202116.0035651015,281385.57735634985,61.17,2017
CA-511,Stockton/San Joaquin County CoC,1542.0,975.0,567.0,935.0,605.0,953.0,457.0,417.0,40.0,322951,300205,22746,743286,7746.0,7048.0,698.0,41601.0,213952.99210233917,328538.201883966,61.17000000000001,2017
CA-512,Daly City/San Mateo County CoC,1253.0,616.0,637.0,788.0,460.0,788.0,388.0,175.0,63.0,444909,432729,12180,768658,6356.0,6038.0,318.0,116077.0,685007.0860863284,1109735.0829301619,61.17,2017
CA-513,"Visalia/Kings, Tulare Counties CoC",853.0,354.0,499.0,522.0,331.0,719.0,385.0,57.0,9.0,261722,235091,26631,611614,5481.0,5051.0,430.0,37830.007357581744,122781.5470166752,197760.01799507503,61.17,2017
CA-514,Fresno City & County/Madera County CoC,2016.0,487.0,1529.0,1347.0,655.0,1403.0,891.0,257.0,63.0,505361,462197,43164,1139805,18393.0,17334.0,1059.0,39749.214165580954,136711.19965087116,227123.44236893384,61.169999999999995,2017
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",979.0,521.0,458.0,590.0,376.0,793.0,120.0,52.0,9.0,229519,220466,9053,484769,2013.0,1921.0,92.0,62371.08017426857,325882.4571500908,451255.1693099745,61.17,2017
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934.0,530.0,404.0,595.0,336.0,709.0,122.0,23.0,6.0,123664,115821,7843,311904,4663.0,4407.0,256.0,41699.71064494203,121290.46994986817,217446.74230407213,61.17,2017
CA-517,Napa City & County CoC,315.0,199.0,116.0,192.0,122.0,259.0,105.0,17.0,4.0,73237,70549,2688,139818,1860.0,1488.0,372.0,69528.0,423030.7163086413,620173.6487976285,61.17,2017
CA-518,Vallejo/Solano County CoC,1232.0,315.0,917.0,866.0,364.0,571.0,277.0,389.0,12.0,207947,197959,9988,443554,6718.0,5844.0,874.0,47333.0,300824.4281336759,404205.9573223146,61.17,2017
CA-519,"Chico, Paradise/Butte County CoC",1195.0,450.0,745.0,790.0,397.0,886.0,134.0,33.0,9.0,101998,96056,5942,228700,3122.0,2934.0,188.0,41465.0,160523.0732515812,265563.6037424276,61.17,2017
CA-520,Merced City & County CoC,454.0,156.0,298.0,297.0,153.0,243.0,109.0,63.0,9.0,115210,104330,10880,270837,3515.0,3339.0,176.0,36766.0,156860.5110432044,232996.702616018,61.17,2017
CA-521,"Davis, Woodland/Yolo County CoC",459.0,250.0,209.0,260.0,182.0,304.0,71.0,96.0,7.0,106564,101083,5481,218470,2940.0,2557.0,383.0,50520.0,284833.8972077164,408757.8794037712,61.17,2017
CA-522,Humboldt County CoC,759.0,325.0,434.0,512.0,236.0,616.0,59.0,16.0,5.0,62486,59842,2644,136710,1994.0,1555.0,439.0,43354.0,168892.84933374805,294585.55526891485,61.17,2017
CA-523,"Colusa, Glenn, Trinity Counties CoC",176.0,43.0,133.0,112.0,62.0,135.0,48.0,4.0,0.0,28423,25611,2812,62161,349.0,334.0,15.0,40399.64551728576,126711.4257733537,219412.212092748,61.17,2017
CA-524,Yuba City & County/Sutter County CoC,760.0,287.0,473.0,365.0,350.0,557.0,114.0,42.0,10.0,73683,67598,6085,172736,2057.0,1985.0,72.0,40183.31736870137,168697.75729184266,258299.83619114358,61.17000000000001,2017
CA-525,El Dorado County CoC,602.0,106.0,496.0,370.0,232.0,540.0,18.0,27.0,0.0,89712,85766,3946,188793,803.0,754.0,49.0,63387.0,285214.7123399191,450777.60845645313,61.17,2017
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",367.0,103.0,264.0,212.0,150.0,299.0,38.0,10.0,0.0,64731,61383,3348,155621,600.0,537.0,63.0,44438.66539862872,170177.88190755932,281588.77474458923,61.17,2017
CA-527,Tehama County CoC,124.0,68.0,56.0,74.0,50.0,108.0,24.0,1.0,0.0,25511,23875,1636,63827,634.0,608.0,26.0,38580.0,86661.02968925117,190989.14976181425,61.17,2017
CA-529,Lake County CoC,401.0,28.0,373.0,236.0,162.0,293.0,42.0,7.0,1.0,29302,27598,1704,64132,463.0,439.0,24.0,39840.0,105866.67357735078,205404.22849954982,61.17,2017
CA-530,"Alpine, Inyo, Mono Counties CoC",121.0,5.0,116.0,77.0,44.0,114.0,5.0,2.0,2.0,17637,16846,791,33268,23.0,14.0,9.0,54644.0386557653,179852.9549586487,315701.3353107595,61.17,2017
CA-600,Los Angeles City & County CoC,52442.0,13972.0,38470.0,35497.0,16346.0,21089.0,18355.0,26665.0,893.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965,61.17000000000001,2017
CA-601,San Diego City and County CoC,9160.0,3539.0,5621.0,5977.0,3074.0,5700.0,2482.0,2064.0,192.0,1570791,1507180,63611,3319019,39871.0,37478.0,2393.0,56802.0,355838.23912180733,542641.0932795326,61.17000000000001,2017
CA-602,"Santa Ana, Anaheim/Orange County CoC",4792.0,2208.0,2584.0,3190.0,1588.0,3487.0,1777.0,719.0,165.0,1605787,1549003,56784,3174159,26597.0,24203.0,2394.0,64601.0,449503.0627836096,660216.7353679427,61.17,2017
CA-603,Santa Maria/Santa Barbara County CoC,1860.0,967.0,893.0,1170.0,689.0,1529.0,622.0,144.0,20.0,214948,205145,9803,444998,7206.0,6557.0,649.0,58138.0,325863.8173095703,525327.7056370849,61.17,2017
CA-604,Bakersfield/Kern County CoC,810.0,541.0,269.0,564.0,244.0,533.0,177.0,130.0,10.0,384073,348493,35580,887316,5756.0,5353.0,403.0,37080.0,122981.64571955903,199849.12880174207,61.17,2017
CA-606,Long Beach CoC,1863.0,655.0,1208.0,1300.0,549.0,1028.0,480.0,596.0,60.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965,61.17000000000001,2017
CA-607,Pasadena CoC,575.0,228.0,347.0,376.0,193.0,285.0,150.0,223.0,7.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965,61.17000000000001,2017
CA-608,Riverside City & County CoC,2406.0,768.0,1638.0,1579.0,812.0,1670.0,782.0,431.0,30.0,1070876,1014232,56644,2413058,12819.0,12434.0,385.0,38605.0,234239.19210383113,348768.612040178,61.17000000000001,2017
CA-609,San Bernardino City & County CoC,1866.0,687.0,1179.0,1180.0,680.0,1174.0,565.0,439.0,24.0,942048,895265,46783,2149847,14912.0,14166.0,746.0,37477.0,181443.00415118362,307368.35249826236,61.17,2017
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1152.0,488.0,664.0,819.0,330.0,869.0,463.0,108.0,8.0,423676,404462,19214,848264,8914.0,8379.0,535.0,57981.0,406752.2379121082,568616.2415340532,61.17,2017
